"","exe_type","problem_size","run_id","metric_type","metric","value","units","resource","nodes","cpus"
"95","openmpi/sysblas/intfft","akstd",5,"statistic","Average STREAM 'Triad' Memory Bandwidth","2425.82528","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"96","openmpi/sysblas/intfft","akstd",5,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15279.400000000001","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"97","openmpi/sysblas/intfft","akstd",5,"statistic","High Performance LINPACK Floating-Point Performance","46284.1","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"98","openmpi/sysblas/intfft","akstd",5,"statistic","High Performance LINPACK Run Time","115.243","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"99","openmpi/sysblas/intfft","akstd",5,"statistic","MPI Random Access","262.542","MUpdate per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"100","openmpi/sysblas/intfft","akstd",5,"statistic","Parallel Matrix Transpose (PTRANS)","11128.0128","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"101","openmpi/sysblas/intfft","akstd",6,"parameter","App:Version","1.5.0f",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"102","openmpi/sysblas/intfft","akstd",6,"parameter","Input:DGEMM Problem Size","1442",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"103","openmpi/sysblas/intfft","akstd",6,"parameter","Input:High Performance LINPACK Grid Cols","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"104","openmpi/sysblas/intfft","akstd",6,"parameter","Input:High Performance LINPACK Grid Rows","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"105","openmpi/sysblas/intfft","akstd",6,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"106","openmpi/sysblas/intfft","akstd",6,"parameter","Input:MPI Ranks","64",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"107","openmpi/sysblas/intfft","akstd",6,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"108","openmpi/sysblas/intfft","akstd",6,"parameter","Input:OpenMP Threads","0",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"109","openmpi/sysblas/intfft","akstd",6,"parameter","Input:PTRANS Problem Size","10000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"110","openmpi/sysblas/intfft","akstd",6,"parameter","Input:STREAM Array Size","2083333","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"111","openmpi/sysblas/intfft","akstd",6,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","896.732","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"112","openmpi/sysblas/intfft","akstd",6,"statistic","Average STREAM 'Add' Memory Bandwidth","2374.61504","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"113","openmpi/sysblas/intfft","akstd",6,"statistic","Average STREAM 'Copy' Memory Bandwidth","1948.88704","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"114","openmpi/sysblas/intfft","akstd",6,"statistic","Average STREAM 'Scale' Memory Bandwidth","2215.3728","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"115","openmpi/sysblas/intfft","akstd",6,"statistic","Average STREAM 'Triad' Memory Bandwidth","2467.88096","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"116","openmpi/sysblas/intfft","akstd",6,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15432.7","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"117","openmpi/sysblas/intfft","akstd",6,"statistic","High Performance LINPACK Floating-Point Performance","46545.700000000004","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"118","openmpi/sysblas/intfft","akstd",6,"statistic","High Performance LINPACK Run Time","114.596","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"119","openmpi/sysblas/intfft","akstd",6,"statistic","MPI Random Access","260.64300000000003","MUpdate per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"120","openmpi/sysblas/intfft","akstd",6,"statistic","Parallel Matrix Transpose (PTRANS)","10638.6432","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
