title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Directory creation (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"App Kernel = mdtest","Resource = stampede2-skx","Metric = File stat (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-02 00:30:02",52907.652,0,no
"2020-11-03 00:30:04",62816.469,0,no
"2020-11-04 00:30:10",59128.217,0,no
"2020-11-05 00:30:18",55991.089,0,no
"2020-11-06 00:30:07",53883.575,0,no
"2020-11-07 00:30:11",53563.776,0,no
"2020-11-09 00:30:07",5889.705,-0.5816323660016,no
"2020-11-10 00:30:05",57289.409,0,no
"2020-11-11 00:30:07",49174.578,0,no
"2020-11-12 00:30:07",58014.678,0,no
"2020-11-13 00:30:04",58431.166,0,no
"2020-11-14 00:30:08",58948.517,0,no
"2020-11-15 00:30:06",58500.335,0,no
"2020-11-16 00:30:02",55795.360,0,no
"2020-11-17 00:30:06",57780.677,0,no
"2020-11-19 14:49:24",52638.513,0,no
"2020-11-20 00:30:07",53131.614,0,no
"2020-11-21 00:30:06",48628.188,0,no
"2020-11-22 00:30:08",55515.390,0,no
"2020-11-23 00:30:04",50625.509,0,no
"2020-11-24 00:30:05",55901.775,0,no
"2020-11-25 00:30:10",55385.920,0,no
"2020-11-26 00:30:03",42707.986,0,no
"2020-11-27 00:30:06",55988.806,0,no
"2020-11-28 00:30:03",53553.031,0,no
"2020-11-29 01:00:14",54603.113,0,no
"2020-12-01 00:58:08",30152.916,-0.025883620887945,no
---------
title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Tree creation (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-02 00:30:02",406.106,0,no
"2020-11-03 00:30:04",480.766,0,no
"2020-11-04 00:30:10",475.935,0,no
"2020-11-05 00:30:18",505.128,0,no
"2020-11-06 00:30:07",384.746,0,no
"2020-11-07 00:30:11",389.911,0,no
"2020-11-09 00:30:07",42.087,-0.31174042390357,no
"2020-11-10 00:30:05",440.341,0,no
"2020-11-11 00:30:07",317.471,0,no
"2020-11-12 00:30:07",425.062,0,no
"2020-11-13 00:30:04",444.429,0,no
"2020-11-14 00:30:08",486.789,0,no
"2020-11-15 00:30:06",433.159,0,no
"2020-11-16 00:30:02",441.497,0,no
"2020-11-17 00:30:06",400.030,0,no
"2020-11-19 14:49:24",460.887,0,no
"2020-11-20 00:30:07",429.389,0,no
"2020-11-21 00:30:06",449.151,0,no
"2020-11-22 00:30:08",482.567,0,no
"2020-11-23 00:30:04",425.209,0,no
"2020-11-24 00:30:05",536.874,0,no
"2020-11-25 00:30:10",464.392,0,no
"2020-11-26 00:30:03",322.514,0,no
"2020-11-27 00:30:06",494.234,0,no
