"","exe_type","problem_size","run_id","metric_type","metric","value","units","resource","nodes","cpus"
"97","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","High Performance LINPACK Floating-Point Performance","803274.0","MFLOP per Second","Ookami",1,48
"98","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","High Performance LINPACK Run Time","6.64024","Second","Ookami",1,48
"99","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","MPI Random Access","13.438699999999999","MUpdate per Second","Ookami",1,48
"100","mvapich2/libsci/fftw3/cce","akstd",5,"statistic","Parallel Matrix Transpose (PTRANS)","22621.184","MByte per Second","Ookami",1,48
"101","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"102","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"103","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"104","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"105","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"106","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"107","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"108","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"109","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"110","mvapich2/libsci/fftw3/cce","akstd",6,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"111","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19902.3","MFLOP per Second","Ookami",1,48
"112","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Add' Memory Bandwidth","13281.8944","MByte per Second","Ookami",1,48
"113","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Copy' Memory Bandwidth","11660.8","MByte per Second","Ookami",1,48
"114","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Scale' Memory Bandwidth","11990.4256","MByte per Second","Ookami",1,48
"115","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Average STREAM 'Triad' Memory Bandwidth","13288.0384","MByte per Second","Ookami",1,48
"116","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7594.52","MFLOP per Second","Ookami",1,48
"117","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","High Performance LINPACK Floating-Point Performance","801506.0","MFLOP per Second","Ookami",1,48
"118","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","High Performance LINPACK Run Time","6.65489","Second","Ookami",1,48
"119","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","MPI Random Access","13.706100000000001","MUpdate per Second","Ookami",1,48
"120","mvapich2/libsci/fftw3/cce","akstd",6,"statistic","Parallel Matrix Transpose (PTRANS)","22256.0256","MByte per Second","Ookami",1,48
"121","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"122","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"123","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"124","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"125","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"126","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"127","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"128","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"129","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"130","mvapich2/libsci/fftw3/cce","akstd",7,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"131","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19881.1","MFLOP per Second","Ookami",1,48
"132","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Average STREAM 'Add' Memory Bandwidth","13113.4464","MByte per Second","Ookami",1,48
"133","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Average STREAM 'Copy' Memory Bandwidth","11466.752","MByte per Second","Ookami",1,48
"134","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Average STREAM 'Scale' Memory Bandwidth","11875.5328","MByte per Second","Ookami",1,48
"135","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Average STREAM 'Triad' Memory Bandwidth","13215.6416","MByte per Second","Ookami",1,48
"136","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","7815.719999999999","MFLOP per Second","Ookami",1,48
"137","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","High Performance LINPACK Floating-Point Performance","798842.0","MFLOP per Second","Ookami",1,48
"138","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","High Performance LINPACK Run Time","6.67708","Second","Ookami",1,48
"139","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","MPI Random Access","13.558900000000001","MUpdate per Second","Ookami",1,48
"140","mvapich2/libsci/fftw3/cce","akstd",7,"statistic","Parallel Matrix Transpose (PTRANS)","22585.6512","MByte per Second","Ookami",1,48
"141","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","App:Version","1.5.0f",NA,"Ookami",1,48
"142","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:DGEMM Problem Size","1666",NA,"Ookami",1,48
"143","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:High Performance LINPACK Grid Cols","12",NA,"Ookami",1,48
"144","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:High Performance LINPACK Grid Rows","4",NA,"Ookami",1,48
"145","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Ookami",1,48
"146","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:MPI Ranks","48",NA,"Ookami",1,48
"147","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Ookami",1,48
"148","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:OpenMP Threads","0",NA,"Ookami",1,48
"149","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:PTRANS Problem Size","10000",NA,"Ookami",1,48
"150","mvapich2/libsci/fftw3/cce","akstd",8,"parameter","Input:STREAM Array Size","2777777","MWord","Ookami",1,48
"151","mvapich2/libsci/fftw3/cce","akstd",8,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","19910.699999999997","MFLOP per Second","Ookami",1,48
"152","mvapich2/libsci/fftw3/cce","akstd",8,"statistic","Average STREAM 'Add' Memory Bandwidth","13283.7376","MByte per Second","Ookami",1,48
"153","mvapich2/libsci/fftw3/cce","akstd",8,"statistic","Average STREAM 'Copy' Memory Bandwidth","11655.7824","MByte per Second","Ookami",1,48
